,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
2,Lata Mondal,31.0,52,1,0,59.61538461538461,notOut,notOut,notOut,notOut,2013-09-14,Bangladesh,South Africa,0,Senwes Park
4,Lata Mondal,8.0,11,0,0,72.72727272727273,notOut,notOut,notOut,notOut,2013-09-15,Bangladesh,South Africa,0,Senwes Park
6,Lata Mondal,3.0,5,0,0,60.0,TD Smartt,['A Mohammed'],caught,Lata Mondal,2014-03-26,West Indies,West Indies,0,Sylhet Stadium
4,Lata Mondal,10.0,20,0,0,50.0,S Sharma,['Poonam Yadav'],caught,Lata Mondal,2014-03-30,India,India,0,Sylhet Stadium
3,Lata Mondal,0.0,3,0,0,0.0,HHC Gunaratne,0,lbw,Lata Mondal,2014-04-01,Sri Lanka,Bangladesh,0,Sylhet Stadium
3,Lata Mondal,8.0,12,1,0,66.66666666666666,LK O'Reilly,0,bowled,Lata Mondal,2014-04-03,Ireland,Bangladesh,0,Sylhet Stadium
4,Lata Mondal,6.0,10,0,0,60.0,Sumaiya Siddiqi,['Rabiya Shah'],stumped,Lata Mondal,2015-09-30,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
7,Lata Mondal,10.0,10,1,0,100.0,Sumaiya Siddiqi,['Rabiya Shah'],run out,Ritu Moni,2015-10-01,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
2,Lata Mondal,0.0,1,0,0,0.0,CJ Metcalfe,['CMA Shillington'],caught,Lata Mondal,2015-12-05,Ireland,Ireland,0,Terdthai Cricket Ground
10,Lata Mondal,1.0,5,0,0,20.0,DJS Dottin,['MR Aguilleira'],caught,Lata Mondal,2016-03-20,West Indies,West Indies,0,"MA Chidambaram Stadium, Chepauk"
10,Lata Mondal,12.0,7,2,0,171.42857142857142,Asmavia Iqbal,['Sidra Nawaz'],stumped,Lata Mondal,2016-03-24,Pakistan,Pakistan,0,Feroz Shah Kotla
1,Lata Mondal,0.0,2,0,0,0.0,KJ Garth,0,caught and bowled,Lata Mondal,2016-09-05,Bangladesh,Ireland,0,"Bready Cricket Club, Magheramason"
9,Lily Rani Biswas,0.0,2,0,0,0.0,SK Dolawatte,['I Ranaweera'],caught,Lily Rani Biswas,2012-10-28,Sri Lanka,Bangladesh,0,Guanggong International Cricket Stadium
6,Liton Das,22.0,27,0,1,81.48148148148148,D Wiese,"['AB de Villiers', 'D Wiese']",run out,Sohag Gazi,2015-07-05,South Africa,South Africa,0,Shere Bangla National Stadium
